event_id,card_number,lpn,lpn_cmp,lpn_camera_in,lpn_in_edited,lpn_camera_out,lpn_out_edited,service_id,service_name,owner_customer_id,org_unit_code,org_unit_name,pk_lot_id,pk_lot_name,entry_point_in_id,entry_point_in_name,lane_in_id,lane_in_name,entry_point_out_id,entry_point_out_name,lane_out_id,lane_out_name,direction_type,check_in_at_raw,check_out_at_raw,check_in_at,check_out_at,payment_type,use_voucher,wallet_balance_before_raw,wallet_balance_after_raw,total_topup_raw,bank_transfer_raw,parking_fee_raw,lost_card_fee_raw,promotion_amount_raw,promotion_vinfast_amount_raw,amount_due_raw,used_change_raw,open_mode_in,open_mode_out,check_in_lane_image_id,check_out_lane_image_id,history_state,description,area_id,computer_inid,computer_outid,haunt_id,haunt_name,vehicle_type,park_duration_ms,has_manual_edits,service_category,check_in_note,check_out_note,is_exception,created_by_user_id,created_by_username,last_modified_by_user_id,last_modified_by_username,created_at,last_modified_at,face_id_in,face_id_out,feature_vector_in,feature_vector_out,checkin_customer_id,checkout_customer_id,event_date,_dbt_loaded_at
1a4d3edc-854c-8dee-2c30-12e965d10618,CARD979409,37A-44244,MATCH,,,,,SVC_03,Visitor Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_01,Demo Org Unit,LOT_013,Parking Lot 013,,Gate In 2,,Lane IN 4,,Gate Out 2,,Lane OUT 3,IN_OUT,,,2026-06-01 13:52:00,2026-06-01 19:40:00,E_WALLET,False,,,,,,,,,,,AUTO,AUTO,,,COMPLETED,,AREA_07,,,,,motorbike,20880000,False,VIP,,,False,,,,,2026-06-01 13:52:00,2026-06-01 19:40:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
afe72609-ad72-eb0b-5160-4060f0208f6b,CARD116456,36A-49767,MATCH,,,,,SVC_03,Hourly Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_03,Demo Org Unit,LOT_019,Parking Lot 019,,Gate In 3,,Lane IN 1,,Gate Out 2,,Lane OUT 3,IN_OUT,,,2026-06-01 19:10:00,2026-06-02 02:10:00,CASH,False,,,,,,,,,,,MANUAL,AUTO,,,COMPLETED,,AREA_10,,,,,motorbike,25200000,False,STAFF,,,False,,,,,2026-06-01 19:10:00,2026-06-02 02:10:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
aaa7885b-c7b5-ac2b-6294-b126451fd50c,CARD651236,66A-19766,MATCH,,,,,SVC_04,Hourly Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_01,Demo Org Unit,LOT_031,Parking Lot 031,,Gate In 2,,Lane IN 1,,Gate Out 2,,Lane OUT 6,IN_OUT,,,2026-06-01 19:12:00,2026-06-01 19:48:00,MONTHLY_PASS,False,,,,,,,,,,,AUTO,MANUAL,,,COMPLETED,,AREA_16,,,,,car,2160000,False,STAFF,,,False,,,,,2026-06-01 19:12:00,2026-06-01 19:48:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
04ddceb7-8188-1653-08f1-b8cdc8009527,CARD834028,16A-50396,MATCH,,,,,SVC_04,Hourly Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_01,Demo Org Unit,LOT_003,Parking Lot 003,,Gate In 1,,Lane IN 6,,Gate Out 1,,Lane OUT 5,IN_OUT,,,2026-06-01 18:11:00,2026-06-02 01:49:00,E_WALLET,False,,,,,,,,,,,AUTO,AUTO,,,COMPLETED,,AREA_02,,,,,motorbike,27480000,False,VIP,,,False,,,,,2026-06-01 18:11:00,2026-06-02 01:49:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
719174bc-13ba-5a6a-ae04-8079ba6a0a5e,CARD627006,38A-83565,MATCH,,,,,SVC_03,Monthly Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_03,Demo Org Unit,LOT_035,Parking Lot 035,,Gate In 3,,Lane IN 6,,Gate Out 2,,Lane OUT 3,IN_OUT,,,2026-06-01 17:36:00,2026-06-01 20:48:00,E_WALLET,False,,,,,,,,,,,AUTO,AUTO,,,COMPLETED,,AREA_18,,,,,eMotorbike,11520000,False,VIP,,,False,,,,,2026-06-01 17:36:00,2026-06-01 20:48:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
455bd804-5acc-3129-4f5f-f2816ca2f8c1,CARD962656,54A-48272,MATCH,,,,,SVC_02,Monthly Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_02,Demo Org Unit,LOT_014,Parking Lot 014,,Gate In 2,,Lane IN 2,,Gate Out 1,,Lane OUT 1,IN_OUT,,,2026-06-01 06:07:00,2026-06-01 10:29:00,E_WALLET,False,,,,,,,,,,,AUTO,MANUAL,,,COMPLETED,,AREA_07,,,,,motorbike,15720000,False,VIP,,,False,,,,,2026-06-01 06:07:00,2026-06-01 10:29:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
a1b55395-f303-3eea-fb18-05dee9047b6a,CARD303898,78A-51588,MATCH,,,,,SVC_02,Monthly Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_03,Demo Org Unit,LOT_008,Parking Lot 008,,Gate In 2,,Lane IN 6,,Gate Out 1,,Lane OUT 1,IN_OUT,,,2026-06-01 20:43:00,2026-06-02 02:16:00,E_WALLET,False,,,,,,,,,,,MANUAL,MANUAL,,,COMPLETED,,AREA_04,,,,,eMotorbike,19980000,False,VIP,,,False,,,,,2026-06-01 20:43:00,2026-06-02 02:16:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
f4bb22f8-8788-f0e7-ea90-35895a026f7b,CARD347574,90A-33053,MATCH,,,,,SVC_02,Hourly Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_04,Demo Org Unit,LOT_036,Parking Lot 036,,Gate In 2,,Lane IN 3,,Gate Out 2,,Lane OUT 4,IN_OUT,,,2026-06-01 06:22:00,2026-06-01 11:23:00,CASH,False,,,,,,,,,,,MANUAL,AUTO,,,COMPLETED,,AREA_18,,,,,eBicycle,18060000,False,STANDARD,,,False,,,,,2026-06-01 06:22:00,2026-06-01 11:23:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
3c3a621c-9a0a-dbe4-c43b-dbecb8b294d2,CARD328707,69A-70039,MATCH,,,,,SVC_04,Visitor Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_03,Demo Org Unit,LOT_009,Parking Lot 009,,Gate In 3,,Lane IN 4,,Gate Out 2,,Lane OUT 3,IN_OUT,,,2026-06-01 20:58:00,2026-06-01 23:50:00,E_WALLET,False,,,,,,,,,,,AUTO,AUTO,,,COMPLETED,,AREA_05,,,,,eMotorbike,10320000,False,STAFF,,,False,,,,,2026-06-01 20:58:00,2026-06-01 23:50:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
eb95f7ba-7005-3090-ef8a-61617ac6d281,CARD859167,48A-59911,MATCH,,,,,SVC_01,Visitor Parking,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,OU_02,Demo Org Unit,LOT_027,Parking Lot 027,,Gate In 3,,Lane IN 5,,Gate Out 3,,Lane OUT 2,IN_OUT,,,2026-06-01 15:01:00,2026-06-01 20:18:00,CASH,True,,,,,,,,,,,MANUAL,AUTO,,,COMPLETED,,AREA_14,,,,,eMotorbike,19020000,False,STANDARD,,,False,,,,,2026-06-01 15:01:00,2026-06-01 20:18:00,,,,,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,,2026-06-19 15:01:32
